request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
medium-2028-000001,identity_0041,action_13,resource_00141,observation,True,True,True,True,False,False,False,False
medium-2028-000002,identity_0040,action_16,resource_00240,observation,True,True,True,True,False,False,False,False
medium-2028-000003,identity_0033,action_05,resource_00133,observation,True,True,True,True,False,False,False,False
medium-2028-000004,identity_0046,action_18,resource_00146,observation,True,True,True,True,False,False,False,False
medium-2028-000005,identity_0063,action_11,resource_00363,observation,True,True,True,True,False,False,False,False
medium-2028-000006,identity_0050,action_18,resource_00050,observation,True,True,True,True,False,False,False,False
medium-2028-000007,identity_0016,action_28,resource_00316,observation,True,True,True,True,False,False,False,False
medium-2028-000008,identity_0033,action_13,resource_00333,observation,True,True,True,True,False,False,False,False
medium-2028-000009,identity_0064,action_12,resource_00364,observation,True,True,True,True,False,False,False,False
medium-2028-000010,identity_0000,action_00,resource_00000,observation,True,True,False,True,True,False,True,False
medium-2028-000011,identity_0093,action_05,resource_00293,observation,True,True,True,True,False,False,False,False
medium-2028-000012,identity_0000,action_08,resource_00200,observation,True,True,True,True,False,False,False,False
medium-2028-000013,identity_0042,action_10,resource_00042,observation,True,True,False,True,True,False,True,False
medium-2028-000014,identity_0062,action_06,resource_00262,observation,True,True,True,True,False,False,False,False
medium-2028-000015,identity_0043,action_11,resource_00043,observation,True,True,False,True,True,False,True,False
medium-2028-000016,identity_0089,action_01,resource_00289,observation,True,True,True,True,False,False,False,False
medium-2028-000017,identity_0080,action_00,resource_00480,observation,True,False,True,False,False,True,False,False
medium-2028-000018,identity_0060,action_04,resource_00260,observation,True,True,True,True,False,False,False,False
medium-2028-000019,identity_0047,action_31,resource_00447,observation,True,True,True,True,False,False,False,False
medium-2028-000020,identity_0028,action_04,resource_00228,observation,True,True,True,True,False,False,False,False
medium-2028-000021,identity_0046,action_18,resource_00146,observation,True,True,True,True,False,False,False,False
medium-2028-000022,identity_0040,action_16,resource_00240,observation,True,True,True,True,False,False,False,False
medium-2028-000023,identity_0058,action_26,resource_00058,observation,True,True,True,True,False,False,False,False
medium-2028-000024,identity_0030,action_30,resource_00030,observation,True,True,False,True,True,False,True,False
medium-2028-000025,identity_0021,action_01,resource_00321,observation,True,True,True,True,False,False,False,False
medium-2028-000026,identity_0062,action_02,resource_00162,observation,True,True,True,True,False,False,False,False
medium-2028-000027,identity_0000,action_12,resource_00300,observation,True,True,True,True,False,False,False,False
medium-2028-000028,identity_0086,action_30,resource_00286,observation,True,True,True,True,False,False,False,False
medium-2028-000029,identity_0086,action_02,resource_00386,observation,True,True,True,True,False,False,False,False
medium-2028-000030,identity_0098,action_02,resource_00098,observation,True,True,True,True,False,False,False,False
medium-2028-000031,identity_0020,action_04,resource_00420,observation,True,True,True,True,False,False,False,False
medium-2028-000032,identity_0070,action_18,resource_00370,observation,True,True,True,True,False,False,False,False
medium-2028-000033,identity_0056,action_28,resource_00156,observation,True,True,True,True,False,False,False,False
medium-2028-000034,identity_0025,action_09,resource_00425,observation,True,True,True,True,False,False,False,False
medium-2028-000035,identity_0048,action_24,resource_00248,observation,True,True,True,True,False,False,False,False
medium-2028-000036,identity_0076,action_20,resource_00276,observation,True,True,True,True,False,False,False,False
medium-2028-000037,identity_0091,action_07,resource_00391,observation,True,True,True,True,False,False,False,False
medium-2028-000038,identity_0023,action_27,resource_00123,observation,True,True,True,True,False,False,False,False
medium-2028-000039,identity_0091,action_31,resource_00191,observation,True,True,True,True,False,False,False,False
medium-2028-000040,identity_0058,action_02,resource_00258,observation,True,True,True,True,False,False,False,False
medium-2028-000041,identity_0013,action_17,resource_00113,observation,True,True,True,True,False,False,False,False
medium-2028-000042,identity_0058,action_06,resource_00358,observation,True,True,True,True,False,False,False,False
medium-2028-000043,identity_0082,action_30,resource_00382,observation,True,True,True,True,False,False,False,False
medium-2028-000044,identity_0025,action_25,resource_00025,observation,True,True,False,True,True,False,True,False
medium-2028-000045,identity_0044,action_24,resource_00344,observation,True,True,True,True,False,False,False,False
medium-2028-000046,identity_0067,action_07,resource_00167,observation,True,True,True,True,False,False,False,False
medium-2028-000047,identity_0098,action_02,resource_00098,observation,True,True,True,True,False,False,False,False
medium-2028-000048,identity_0038,action_18,resource_00338,observation,True,True,True,True,False,False,False,False
medium-2028-000049,identity_0090,action_02,resource_00290,observation,True,True,True,True,False,False,False,False
medium-2028-000050,identity_0071,action_07,resource_00071,observation,True,True,True,True,False,False,False,False
medium-2028-000051,identity_0018,action_02,resource_00418,observation,True,True,True,True,False,False,False,False
medium-2028-000052,identity_0078,action_22,resource_00278,observation,True,True,True,True,False,False,False,False
medium-2028-000053,identity_0006,action_22,resource_00406,observation,True,True,True,True,False,False,False,False
medium-2028-000054,identity_0072,action_20,resource_00372,observation,True,True,True,True,False,False,False,False
medium-2028-000055,identity_0025,action_01,resource_00225,observation,True,True,True,True,False,False,False,False
medium-2028-000056,identity_0049,action_01,resource_00449,observation,True,True,True,True,False,False,False,False
medium-2028-000057,identity_0021,action_21,resource_00021,observation,True,True,False,True,True,False,True,False
medium-2028-000058,identity_0059,action_31,resource_00159,observation,True,True,True,True,False,False,False,False
medium-2028-000059,identity_0056,action_28,resource_00156,observation,True,True,True,True,False,False,False,False
medium-2028-000060,identity_0028,action_28,resource_00028,observation,True,True,False,True,True,False,True,False
medium-2028-000061,identity_0009,action_25,resource_00409,observation,True,True,True,True,False,False,False,False
medium-2028-000062,identity_0058,action_06,resource_00358,observation,True,True,True,True,False,False,False,False
medium-2028-000063,identity_0001,action_05,resource_00101,observation,True,True,True,True,False,False,False,False
medium-2028-000064,identity_0079,action_19,resource_00179,observation,True,True,True,True,False,False,False,False
medium-2028-000065,identity_0091,action_03,resource_00291,observation,True,True,True,True,False,False,False,False
medium-2028-000066,identity_0037,action_21,resource_00437,observation,True,True,True,True,False,False,False,False
medium-2028-000067,identity_0054,action_22,resource_00054,observation,True,True,True,True,False,False,False,False
medium-2028-000068,identity_0032,action_04,resource_00132,observation,True,True,True,True,False,False,False,False
medium-2028-000069,identity_0089,action_05,resource_00389,observation,True,True,True,True,False,False,False,False
medium-2028-000070,identity_0073,action_09,resource_00073,observation,True,True,True,True,False,False,False,False
medium-2028-000071,identity_0097,action_13,resource_00397,observation,True,True,True,True,False,False,False,False
medium-2028-000072,identity_0019,action_23,resource_00119,observation,True,True,True,True,False,False,False,False
medium-2028-000073,identity_0041,action_17,resource_00241,observation,True,True,True,True,False,False,False,False
