request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
small-2026-000001,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000002,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000003,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000004,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000005,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000006,svc-incident,write,ticket,observation,True,True,False,True,True,False,True,False
small-2026-000007,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000008,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000009,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000010,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000011,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000012,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000013,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000014,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000015,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000016,svc-backup,write,backup-store,observation,True,True,False,True,True,False,True,False
small-2026-000017,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000018,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000019,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000020,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000021,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000022,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000023,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000024,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000025,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000026,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000027,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000028,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000029,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000030,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000031,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000032,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000033,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000034,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000035,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2026-000036,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000037,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000038,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000039,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000040,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2026-000041,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2026-000042,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
