request_id,subject,action,resource,phase,stable_allow,oracle_required,unsafe_candidate_allow,safe_candidate_allow,unsafe_mismatch,safe_mismatch,unsafe_required_would_deny,safe_required_would_deny
small-2028-000001,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000002,svc-backup,write,backup-store,observation,True,True,False,True,True,False,True,False
small-2028-000003,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000004,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2028-000005,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000006,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000007,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000008,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000009,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000010,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000011,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000012,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000013,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000014,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000015,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000016,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000017,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000018,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000019,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000020,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000021,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000022,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000023,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000024,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2028-000025,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000026,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000027,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000028,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000029,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000030,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000031,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000032,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000033,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000034,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000035,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000036,svc-incident,write,ticket,observation,True,True,False,True,True,False,True,False
small-2028-000037,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000038,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000039,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000040,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000041,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000042,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000043,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000044,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2028-000045,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000046,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000047,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000048,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000049,svc-deploy,write,deployment,observation,True,True,True,True,False,False,False,False
small-2028-000050,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000051,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000052,svc-build,write,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000053,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000054,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
small-2028-000055,svc-deploy,read,artifact,observation,True,True,True,True,False,False,False,False
small-2028-000056,svc-build,read,repo,observation,True,True,True,True,False,False,False,False
